Sign1,Sign2,Compatibility_rate,Sign1_Modality,Sign1_Element,Sign2_Modality,Sign2_Element,same_element,fire_air_pair,earth_water_pair,opposing_elements,fixed_fixed_pair,mutable_mutable_pair,cardinal_fixed_pair,cardinal_mutable_pair,fixed_mutable_pair,Sign1_Trait1,Sign1_Trait2,Sign1_Trait3,Sign1_Trait4,Sign1_Trait5,Sign1_Trait6,Sign1_Trait7,Sign1_Trait8,Sign2_Trait1,Sign2_Trait2,Sign2_Trait3,Sign2_Trait4,Sign2_Trait5,Sign2_Trait6,Sign2_Trait7,Sign2_Trait8
Cancer,Pisces,0.98,Cardinal,Water,Mutable,Water,1,0,0,0,0,0,0,1,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Taurus,Gemini,0.33,Fixed,Earth,Mutable,Air,0,0,0,1,0,0,0,0,1,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Virgo,Pisces,0.88,Mutable,Earth,Mutable,Water,0,0,1,0,0,1,0,0,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Pisces,Aries,0.67,Mutable,Water,Cardinal,Fire,0,0,0,1,0,0,0,1,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Cancer,Aquarius,0.27,Cardinal,Water,Fixed,Air,0,0,0,0,0,0,1,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Gemini,Leo,0.88,Mutable,Air,Fixed,Fire,0,1,0,0,0,0,0,0,1,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Leo,Taurus,0.73,Fixed,Fire,Fixed,Earth,0,0,0,0,1,0,0,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Capricorn,Pisces,0.88,Cardinal,Earth,Mutable,Water,0,0,1,0,0,0,0,1,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Scorpio,Libra,0.35,Fixed,Water,Cardinal,Air,0,0,0,0,0,0,1,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Taurus,Pisces,0.85,Fixed,Earth,Mutable,Water,0,0,1,0,0,0,0,0,1,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Libra,Taurus,0.65,Cardinal,Air,Fixed,Earth,0,0,0,1,0,0,1,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
